	('Sample: RA-S6-058', 'BlockID: OXBA058', 'histology: DCIS', 'year: 2017.0', 'area L,M,S: M', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/10/19', 'bead multiplexing: 1.0', '# final reads: 21723')	('Sample: RA1-S6-011', 'BlockID: OXBA011', 'histology: DCIS', 'year: 2013.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/10/19', 'bead multiplexing: 1.0', '# final reads: 6458')	('Sample: RA2-S5-011', 'BlockID: OXBA011', 'histology: DCIS', 'year: 2013.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 1.0', 'SMART3-SEQ date: 5/10/19', 'bead multiplexing: 1.0', '# final reads: 74975')	('Sample: RA-S6-016', 'BlockID: OXBA016', 'histology: DCIS', 'year: 2013.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 92076')	('Sample: RA-S6-018', 'BlockID: OXBA018', 'histology: DCIS', 'year: 2014.0', 'area L,M,S: S', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 1.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 9201')	('Sample: RB-S6-016', 'BlockID: OXBA016', 'histology: DCIS', 'year: 2013.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 1.0', 'Necrosis 0,1: 1.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 293642')	('Sample: RB-S6-018', 'BlockID: OXBA018', 'histology: Immune', 'year: 2014.0', 'area L,M,S: S', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 8068')	('Sample: RC-S6-058', 'BlockID: OXBA058', 'histology: DCIS', 'year: 2017.0', 'area L,M,S: S', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/10/19', 'bead multiplexing: 1.0', '# final reads: 7081')	('Sample: RC-S6-031', 'BlockID: OXBA031', 'histology: DCIS', 'year: 2012.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 1.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 23890')	('Sample: RE-S6-57', 'BlockID: OXBA057', 'histology: DCIS', 'year: 2016.0', 'area L,M,S: L', 'Batch: 2', 'Dissection Q 1,2,3: 3.0', 'Necrosis 0,1: 0.0', 'SMART3-SEQ date: 5/21/19', 'bead multiplexing: 8.0', '# final reads: 220955')	('Sample: 7_23_LCM_Cap6', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 277947')	('Sample: 7_23_LCM_Cap8', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 149761')	('Sample: 7_26_LCM_NC', 'BlockID: nan', 'histology: NTC', 'year: nan', 'area L,M,S: nan', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 72833')	('Sample: 7_26_LCM_Cap2', 'BlockID: nan', 'histology: stroma', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 407383')	('Sample: 7_26_LCM_Cap3', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 235280')	('Sample: 7_26_LCM_Cap4', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 352338')	('Sample: 7_26_LCM_Cap5', 'BlockID: nan', 'histology: stroma', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 134421')	('Sample: 7_26_LCM_Cap6', 'BlockID: nan', 'histology: stroma', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 100026')	('Sample: 7_26_LCM_Cap7', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 165557')	('Sample: 7_26_LCM_Cap8', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 140980')	('Sample: 7_26_LCM_Cap9', 'BlockID: nan', 'histology: stroma', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 68885')	('Sample: 7_26_LCM_Cap10', 'BlockID: nan', 'histology: stroma', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 190973')	('Sample: 7_26_LCM_Cap11', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: L', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 215210')	('Sample: 7_26_LCM_Cap12', 'BlockID: nan', 'histology: DCIS', 'year: nan', 'area L,M,S: S', 'Batch: 1', 'Dissection Q 1,2,3: nan', 'Necrosis 0,1: nan', 'SMART3-SEQ date: nan', 'bead multiplexing: nan', '# final reads: 96901')
GTPBP8	-0.7933227367376346	-0.47737831128704206	0.10521265432922168	-1.1880568361729504	2.022928305654812	-0.012388455816337181	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	0.4009648295829887	-1.5261592346543134	-0.014444902274290126	-1.2028716756430307	-0.8543859537856046	-1.2131074481564517	-1.4375807155022096	-0.223668184004084	-0.9853686787208986	-1.182580995761374	0.36625408841161433	-0.9231284681696063	-1.2053508542991078	-1.3789437790897316	-0.9542437898815906
LAMB3	1.2377716016404186	-0.47737831128704206	0.923840231455341	-1.1880568361729504	-0.5197550075555663	0.22626753067230862	-0.5353351641839023	1.8076001156074923	1.4411604156078173	0.4009648295829887	0.6577508475754382	-0.39043027481835335	0.8203459799538586	-0.10113535226113247	-1.2131074481564517	-0.2262037403157507	0.14559799976163385	1.000427911188129	0.09986805089597038	0.6311176875258393	1.09454450722387	1.1111669995808637	0.5158348715342997	0.49086716264810515
SLC49A3	1.2377716016404186	1.9153502599889887	0.923840231455341	-1.1880568361729504	-0.5197550075555663	0.46492351716095476	1.6663812155607922	-0.5004848228714273	-0.8335945621836311	0.4009648295829887	0.7041772299085071	0.3615404702697732	0.6750487227079748	-0.2574489752546334	0.3634456128034001	0.7548769917321462	0.14559799976163385	-0.9853686787208986	1.1701810344158714	0.7256515978895004	0.6630670580350884	-0.3509466680712668	0.6525890991979274	0.49086716264810515
FLT3	-0.7933227367376346	-0.47737831128704206	-1.2124753650236555	0.023195334141392465	-0.5197550075555663	-1.5496231909585472	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	0.4009648295829887	0.6072824967055076	1.3103628524558941	0.47026374040117275	0.9159185687740442	0.09995286038780145	0.4547565972585647	-0.223668184004084	1.5595240867583549	0.8740343516653528	0.7256515978895004	0.6630670580350884	0.8865158969389335	0.5158348715342997	0.1599770971581648
PRRG3	-0.7933227367376346	-0.47737831128704206	-1.2124753650236555	0.37519802173475053	-0.5197550075555663	-1.5496231909585472	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	-1.470694901118256	-0.7835450498044094	-0.39043027481835335	0.8203459799538586	0.39673621406187004	0.09995286038780145	-0.06349235641491482	0.5148641835273519	1.0751972246094956	1.0633066147423818	0.15602002251447486	1.180398960969875	0.7221740362174177	-0.1658634828900004	0.49086716264810515
TMEM243	0.9264752589454968	1.9153502599889887	0.10521265432922168	0.37519802173475053	-0.5197550075555663	-0.012388455816337181	-0.5353351641839023	-0.5004848228714273	0.8253172810329964	-0.6147878528633501	0.7871786009533684	0.5814778140277239	-1.2028716756430307	0.9159185687740442	0.7209829992179059	0.7205880420240608	-0.223668184004084	0.91199458323476	0.7446798638649214	1.2342125509481328	1.579387957350113	0.7221740362174177	0.05477274592971236	-0.9542437898815906
RFNG	-0.7933227367376346	1.9153502599889887	1.0165766167132027	0.37519802173475053	-0.5197550075555663	0.3955966478346234	-0.5353351641839023	-0.5004848228714273	1.1332388483204068	0.4883532147008433	0.7471613461276865	0.48258072495839877	0.1201815008484869	-0.10113535226113247	-0.46673048968503983	0.7205880420240608	-1.2927563962983917	0.6642234984116189	1.285035640988462	0.8748150414702467	1.09454450722387	0.47962303609313645	-0.1658634828900004	-0.9542437898815906
POF1B	-0.7933227367376346	-0.47737831128704206	-1.2124753650236555	0.7272007093281087	1.695431473672249	0.5269385149953999	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	-1.470694901118256	-1.5261592346543134	-1.4203542680098256	-1.2028716756430307	0.020110913299633944	-1.2131074481564517	-1.4375807155022096	-0.223668184004084	-0.9853686787208986	-1.182580995761374	-1.2191921154815522	-0.9231284681696063	-1.2053508542991078	-1.3789437790897316	-0.9542437898815906
SRC	0.9264752589454968	-0.47737831128704206	0.6640129094525644	0.8405202639402698	-0.5197550075555663	0.5830379043848896	1.6663812155607922	-0.5004848228714273	-0.8335945621836311	0.6308239587085632	0.6577508475754382	0.3615404702697732	1.0251309622606604	0.7454910235812632	-1.2131074481564517	0.557876658123225	-0.223668184004084	-0.9853686787208986	0.813410039909238	0.36625408841161433	-0.9231284681696063	0.8865158969389335	-0.1658634828900004	-0.9542437898815906
HOXB3	0.9264752589454968	-0.47737831128704206	-1.2124753650236555	0.9331090817232871	-0.5197550075555663	0.6813656188416661	-0.5353351641839023	1.8076001156074923	-0.8335945621836311	-0.22184107620296808	0.6577508475754382	0.9102654111057027	0.47026374040117275	-0.10113535226113247	-1.2131074481564517	0.7548769917321462	0.36160487004898606	1.0751972246094956	0.7446798638649214	1.1649763897224623	0.6630670580350884	0.47962303609313645	0.9305578737198015	0.9282800365383764
FRY	0.9264752589454968	-0.47737831128704206	0.10521265432922168	0.023195334141392465	-0.5197550075555663	0.22626753067230862	1.6663812155607922	-0.5004848228714273	-0.8335945621836311	0.5640524771177959	0.4908894522751929	0.8585660975024618	0.47026374040117275	-1.3423199684492448	0.7209829992179059	-0.06349235641491482	-1.2927563962983917	0.6642234984116189	-0.2569029436106633	-0.20337748696341118	1.180398960969875	1.1685663202600205	0.43195287037821445	-0.9542437898815906
ADGRD1	1.2377716016404186	-0.47737831128704206	-1.2124753650236555	0.023195334141392465	-0.5197550075555663	-0.8283586631182582	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	-1.470694901118256	-1.5261592346543134	0.7375258428138366	-1.2028716756430307	-0.10113535226113247	0.09995286038780145	-1.4375807155022096	0.14559799976163385	0.46755652436038386	-1.182580995761374	-0.20337748696341118	0.6630670580350884	-0.3509466680712668	0.6525890991979274	0.6844254428208877
CCDC7	0.9264752589454968	-0.47737831128704206	-1.2124753650236555	0.023195334141392465	-0.5197550075555663	0.5269385149953999	-0.5353351641839023	1.8076001156074923	-0.8335945621836311	0.008018052922606603	0.4908894522751929	-0.39043027481835335	0.6750487227079748	0.936424981807309	0.24834428314397153	1.037103626508358	0.8129930545400319	-0.9853686787208986	0.30856570402734484	0.9358856637866398	0.8539988709365769	0.7829573819587613	0.8930149959828021	-0.9542437898815906
PSME2	-0.7933227367376346	-0.47737831128704206	0.10521265432922168	0.37519802173475053	1.695431473672249	0.7249854293934082	-0.5353351641839023	-0.5004848228714273	-0.8335945621836311	0.4883532147008433	1.009321819875531	1.3768663037278368	1.1029865991816687	0.975252599601544	1.2333195605334843	1.408574487980016	1.398266108593102	-0.9853686787208986	0.7446798638649214	0.9905151970037253	0.33666696800178997	0.3644671347878564	0.6525890991979274	0.9282800365383764
